,actively_hiring,Type_of_job,company_name,location,salary,experience
0,1.0,Business Development Executive,Ifisys Software And Services Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
1,1.0,Graphic Designer,Backbenchers,Gurgaon,₹  2 - 3.5 LPA,0-2 years
2,1.0,Corporate Sales Associate,FYIPEN Private Limitted,Delhi,₹  2.5 - 4 LPA,0-2 years
3,1.0,Assistant Manager - Sales (Delhi NCR),Marketing Works,Faridabad,₹  4 - 5.5 LPA,0-5 years
4,1.0,Business Development Executive,Bizcon Fintech Labs Private Limited,Noida,₹  2 - 3.2 LPA,0-2 years
5,0.0,Inside Sales Specialist,Skill-Lync,Chennai,₹  3 - 4 LPA,0-2 years
6,1.0,Accounts Executive,TRADESK SOLUTIONS PRIVATE LIMITED,Patna,₹  2 - 2.4 LPA,0-2 years
7,1.0,Insurance Team Leader (Retail Partner),Agni Rural Welfare Society,Kolkata,₹  2.28 - 5.04 LPA,0-5 years
8,0.0,Full Stack Developer,Tutedude,Gurgaon,₹  4.5 - 7 LPA,0-5 years
9,1.0,Business And Product Development Executive,Allo Innoware,Mumbai,₹  2 - 3 LPA,0-2 years
10,1.0,Junior Graphic Designer,Peppermint Communications Private Limited,Bhiwandi,₹  2 - 3 LPA,0-2 years
11,1.0,Junior Interior Designer,Archipixels,Lucknow,₹  2 - 2.1 LPA,0-2 years
12,1.0,Corporate Sales Executive,Zoplar,Gurgaon,₹  2 - 5 LPA,0-5 years
13,1.0,Customer Acquisition Specialist,IJRDO Journal,Gurgaon,₹  2.5 - 3.3 LPA,0-2 years
14,1.0,Field Sales Specialist,AegisCovenant,Agra,₹  2 - 5 LPA,0-5 years
15,1.0,Customer Relationship Executive (Morning Shift),Upstep Academy,Mumbai,₹  2.4 - 4.2 LPA,0-2 years
16,1.0,Customer Relationship Executive,Upstep Academy,Mumbai,₹  2.4 - 3.4 LPA,0-2 years
17,1.0,Business Development Associate,Software At Work,Mumbai,₹  3 - 4 LPA,0-2 years
18,1.0,Junior Recruitment Specialist,Prexel,Vadodara,₹  2.5 LPA,0-2 years
19,1.0,Junior Financial Officer,WeMakeScholars,Ranchi,₹  3 - 3.7 LPA,0-2 years
20,1.0,Graphics Designer,TradeReboot Fintech Private Limited,Delhi,₹  2 - 2.2 LPA,0-2 years
21,1.0,Assistant,Zenexture,Noida,₹  2 LPA,0-2 years
22,1.0,Crypto Trainer,Density Exchange,Bangalore,₹  4 - 5.5 LPA,0-5 years
